Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
6	ROUMANIE	26	17	5	0	4
7	ROUMANIE	26	17	5	0	4
8	ROUMANIE	26	17	5	0	4
9	ROUMANIE	26	17	5	0	4
10	ROUMANIE	26	17	5	0	4
11	ROUMANIE	26	17	5	0	4
12	ROUMANIE	26	0	22	0	4
13	ROUMANIE	26	0	22	0	4
14	ROUMANIE	26	0	22	0	4
15	ROUMANIE	26	0	22	0	4
16	ROUMANIE	26	0	22	0	4
17	ROUMANIE	26	0	22	0	4
18	ROUMANIE	26	0	22	0	4
19	ROUMANIE	26	0	22	0	4
20	ROUMANIE	26	0	22	0	4
21	ROUMANIE	26	0	22	0	4
22	ROUMANIE	26	0	22	0	4
23	ROUMANIE	26	0	22	0	4
24	ROUMANIE	26	0	22	0	4
25	ROUMANIE	26	0	22	0	4
26	ROUMANIE	26	0	22	0	4
27	ROUMANIE	26	0	22	0	4
28	ROUMANIE	26	0	22	0	4
29	ROUMANIE	26	0	22	0	4
30	ROUMANIE	26	0	22	0	4
31	ROUMANIE	26	0	22	0	4
32	ROUMANIE	26	0	22	0	4
33	ROUMANIE	26	0	22	0	4
34	ROUMANIE	26	0	22	0	4
35	ROUMANIE	26	0	22	0	4
36	ROUMANIE	26	0	22	0	4
37	ROUMANIE	26	0	22	0	4
38	ROUMANIE	26	0	22	0	4
39	ROUMANIE	26	0	22	0	4
40	ROUMANIE	26	0	22	0	4
41	ROUMANIE	26	0	22	0	4
42	ROUMANIE	26	0	22	0	4
43	ROUMANIE	26	0	22	0	4
44	ROUMANIE	26	0	22	0	4
45	ROUMANIE	26	0	22	0	4
46	ROUMANIE	26	0	22	0	4
47	ROUMANIE	26	0	22	0	4
48	ROUMANIE	26	0	22	0	4
49	ROUMANIE	26	0	22	0	4
50	ROUMANIE	26	0	22	0	4
51	ROUMANIE	26	0	22	0	4
52	ROUMANIE	26	0	22	0	4
53	ROUMANIE	26	0	22	0	4
54	ROUMANIE	26	0	22	0	4
55	ROUMANIE	26	0	22	0	4
56	ROUMANIE	26	0	22	0	4
57	ROUMANIE	26	0	22	0	4
58	ROUMANIE	26	0	22	0	4
59	ROUMANIE	26	0	22	0	4
60	ROUMANIE	26	0	22	0	4
61	ROUMANIE	26	0	22	0	4
62	ROUMANIE	26	0	22	0	4
63	ROUMANIE	26	0	22	0	4
64	ROUMANIE	26	0	22	0	4
65	ROUMANIE	26	0	22	0	4
66	ROUMANIE	26	0	22	0	4
67	ROUMANIE	26	0	22	0	4
68	ROUMANIE	26	0	22	0	4
69	ROUMANIE	26	0	22	0	4
70	ROUMANIE	26	0	22	0	4
71	ROUMANIE	26	0	22	0	4
72	ROUMANIE	26	0	22	0	4
73	ROUMANIE	26	0	22	0	4
74	ROUMANIE	26	0	22	0	4
75	ROUMANIE	26	0	22	0	4
76	ROUMANIE	26	0	22	0	4
77	ROUMANIE	26	0	22	0	4
78	ROUMANIE	26	0	22	0	4
79	ROUMANIE	26	0	22	0	4
80	ROUMANIE	26	0	22	0	4
81	ROUMANIE	26	0	22	0	4
82	ROUMANIE	26	0	22	0	4
83	ROUMANIE	26	0	22	0	4
84	ROUMANIE	26	0	22	0	4
85	ROUMANIE	27	1	22	0	4
86	ROUMANIE	27	1	22	0	4
87	ROUMANIE	27	1	22	0	4
88	ROUMANIE	27	1	22	0	4
89	ROUMANIE	27	1	22	0	4
90	ROUMANIE	27	1	22	0	4
91	ROUMANIE	27	0	23	0	4
92	ROUMANIE	27	0	23	0	4
93	ROUMANIE	27	0	23	0	4
94	ROUMANIE	27	0	23	0	4
95	ROUMANIE	27	0	23	0	4
96	ROUMANIE	27	0	23	0	4
97	ROUMANIE	27	0	23	0	4
98	ROUMANIE	27	0	23	0	4
99	ROUMANIE	27	0	23	0	4
100	ROUMANIE	27	0	23	0	4
101	ROUMANIE	27	0	23	0	4
102	ROUMANIE	27	0	23	0	4
103	ROUMANIE	27	0	23	0	4
104	ROUMANIE	27	0	23	0	4
105	ROUMANIE	27	0	23	0	4
106	ROUMANIE	27	0	23	0	4
107	ROUMANIE	27	0	23	0	4
108	ROUMANIE	27	0	23	0	4
109	ROUMANIE	27	0	23	0	4
110	ROUMANIE	27	0	23	0	4
111	ROUMANIE	27	0	23	0	4
112	ROUMANIE	27	0	23	0	4
113	ROUMANIE	27	0	23	0	4
114	ROUMANIE	27	0	23	0	4
115	ROUMANIE	27	0	19	4	4
116	ROUMANIE	27	0	19	4	4
117	ROUMANIE	27	0	19	4	4
118	ROUMANIE	27	0	19	4	4
119	ROUMANIE	27	0	19	4	4
120	ROUMANIE	27	0	19	4	4
121	ROUMANIE	27	0	15	8	4
122	ROUMANIE	27	0	11	12	4
123	ROUMANIE	27	0	7	16	4
Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
1	ROUMANIE	9	5	0	0	4
2	ROUMANIE	9	5	0	0	4
3	ROUMANIE	9	5	0	0	4
4	ROUMANIE	9	5	0	0	4
5	ROUMANIE	9	5	0	0	4
6	ROUMANIE	27	18	5	0	4
7	ROUMANIE	27	18	5	0	4
8	ROUMANIE	27	18	5	0	4
9	ROUMANIE	27	18	5	0	4
10	ROUMANIE	27	18	5	0	4
11	ROUMANIE	27	18	5	0	4
12	ROUMANIE	27	0	23	0	4
13	ROUMANIE	27	0	23	0	4
14	ROUMANIE	27	0	23	0	4
15	ROUMANIE	27	0	23	0	4
16	ROUMANIE	27	0	23	0	4
17	ROUMANIE	27	0	23	0	4
18	ROUMANIE	27	0	23	0	4
19	ROUMANIE	27	0	23	0	4
20	ROUMANIE	27	0	23	0	4
21	ROUMANIE	27	0	23	0	4
22	ROUMANIE	27	0	23	0	4
23	ROUMANIE	27	0	23	0	4
24	ROUMANIE	27	0	23	0	4
25	ROUMANIE	27	0	23	0	4
26	ROUMANIE	27	0	23	0	4
27	ROUMANIE	27	0	23	0	4
28	ROUMANIE	27	0	23	0	4
29	ROUMANIE	27	0	23	0	4
30	ROUMANIE	27	0	23	0	4
31	ROUMANIE	27	0	23	0	4
32	ROUMANIE	27	0	23	0	4
33	ROUMANIE	27	0	23	0	4
34	ROUMANIE	27	0	23	0	4
35	ROUMANIE	27	0	23	0	4
36	ROUMANIE	27	0	23	0	4
37	ROUMANIE	27	0	23	0	4
38	ROUMANIE	27	0	23	0	4
39	ROUMANIE	27	0	23	0	4
40	ROUMANIE	27	0	23	0	4
41	ROUMANIE	27	0	23	0	4
42	ROUMANIE	27	0	23	0	4
43	ROUMANIE	27	0	23	0	4
44	ROUMANIE	27	0	23	0	4
45	ROUMANIE	27	0	23	0	4
46	ROUMANIE	27	0	23	0	4
47	ROUMANIE	27	0	23	0	4
48	ROUMANIE	27	0	23	0	4
49	ROUMANIE	27	0	23	0	4
50	ROUMANIE	27	0	23	0	4
51	ROUMANIE	27	0	23	0	4
52	ROUMANIE	27	0	23	0	4
53	ROUMANIE	27	0	23	0	4
54	ROUMANIE	27	0	23	0	4
55	ROUMANIE	27	0	23	0	4
56	ROUMANIE	27	0	23	0	4
57	ROUMANIE	27	0	23	0	4
58	ROUMANIE	27	0	23	0	4
59	ROUMANIE	27	0	23	0	4
60	ROUMANIE	27	0	23	0	4
61	ROUMANIE	27	0	23	0	4
62	ROUMANIE	27	0	23	0	4
63	ROUMANIE	27	0	23	0	4
64	ROUMANIE	27	0	23	0	4
65	ROUMANIE	27	0	23	0	4
66	ROUMANIE	27	0	23	0	4
67	ROUMANIE	27	0	23	0	4
68	ROUMANIE	27	0	23	0	4
69	ROUMANIE	27	0	23	0	4
70	ROUMANIE	27	0	23	0	4
71	ROUMANIE	27	0	23	0	4
72	ROUMANIE	27	0	23	0	4
73	ROUMANIE	27	0	23	0	4
74	ROUMANIE	27	0	23	0	4
75	ROUMANIE	27	0	23	0	4
76	ROUMANIE	27	0	23	0	4
77	ROUMANIE	27	0	23	0	4
78	ROUMANIE	27	0	23	0	4
79	ROUMANIE	27	0	23	0	4
80	ROUMANIE	27	0	23	0	4
81	ROUMANIE	27	0	23	0	4
82	ROUMANIE	27	0	23	0	4
83	ROUMANIE	27	0	23	0	4
84	ROUMANIE	27	0	23	0	4
85	ROUMANIE	28	1	23	0	4
86	ROUMANIE	28	1	23	0	4
87	ROUMANIE	28	1	23	0	4
88	ROUMANIE	28	1	23	0	4
89	ROUMANIE	28	1	23	0	4
90	ROUMANIE	28	1	23	0	4
91	ROUMANIE	28	0	24	0	4
92	ROUMANIE	28	0	24	0	4
93	ROUMANIE	28	0	24	0	4
94	ROUMANIE	28	0	24	0	4
95	ROUMANIE	28	0	24	0	4
96	ROUMANIE	28	0	24	0	4
97	ROUMANIE	28	0	24	0	4
98	ROUMANIE	28	0	24	0	4
99	ROUMANIE	28	0	24	0	4
100	ROUMANIE	28	0	24	0	4
101	ROUMANIE	28	0	24	0	4
102	ROUMANIE	28	0	24	0	4
103	ROUMANIE	28	0	24	0	4
104	ROUMANIE	28	0	24	0	4
105	ROUMANIE	28	0	24	0	4
106	ROUMANIE	28	0	24	0	4
107	ROUMANIE	28	0	24	0	4
108	ROUMANIE	28	0	24	0	4
109	ROUMANIE	28	0	24	0	4
110	ROUMANIE	28	0	24	0	4
111	ROUMANIE	28	0	24	0	4
112	ROUMANIE	28	0	24	0	4
113	ROUMANIE	28	0	24	0	4
114	ROUMANIE	28	0	24	0	4
115	ROUMANIE	28	0	20	4	4
116	ROUMANIE	28	0	20	4	4
117	ROUMANIE	28	0	20	4	4
118	ROUMANIE	28	0	20	4	4
119	ROUMANIE	28	0	20	4	4
120	ROUMANIE	28	0	20	4	4
121	ROUMANIE	28	0	16	8	4
122	ROUMANIE	28	0	12	12	4
123	ROUMANIE	28	0	8	16	4
Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
1	ROUMANIE	21	17	0	0	4
2	ROUMANIE	21	17	0	0	4
3	ROUMANIE	21	17	0	0	4
4	ROUMANIE	21	17	0	0	4
5	ROUMANIE	21	17	0	0	4
6	ROUMANIE	21	12	5	0	4
7	ROUMANIE	21	0	17	0	4
8	ROUMANIE	21	0	17	0	4
9	ROUMANIE	21	0	17	0	4
10	ROUMANIE	21	0	17	0	4
11	ROUMANIE	21	0	17	0	4
12	ROUMANIE	21	0	17	0	4
13	ROUMANIE	21	0	17	0	4
14	ROUMANIE	21	0	17	0	4
15	ROUMANIE	21	0	17	0	4
16	ROUMANIE	21	0	17	0	4
17	ROUMANIE	21	0	17	0	4
18	ROUMANIE	21	0	17	0	4
19	ROUMANIE	21	0	17	0	4
20	ROUMANIE	21	0	17	0	4
21	ROUMANIE	21	0	17	0	4
22	ROUMANIE	21	0	17	0	4
23	ROUMANIE	21	0	17	0	4
24	ROUMANIE	21	0	17	0	4
25	ROUMANIE	21	0	17	0	4
26	ROUMANIE	21	0	17	0	4
27	ROUMANIE	21	0	17	0	4
28	ROUMANIE	21	0	17	0	4
29	ROUMANIE	21	0	17	0	4
30	ROUMANIE	21	0	17	0	4
31	ROUMANIE	21	0	17	0	4
32	ROUMANIE	21	0	17	0	4
33	ROUMANIE	21	0	17	0	4
34	ROUMANIE	21	0	17	0	4
35	ROUMANIE	21	0	17	0	4
36	ROUMANIE	21	0	17	0	4
37	ROUMANIE	21	0	17	0	4
38	ROUMANIE	21	0	17	0	4
39	ROUMANIE	21	0	17	0	4
40	ROUMANIE	21	0	17	0	4
41	ROUMANIE	21	0	17	0	4
42	ROUMANIE	21	0	17	0	4
43	ROUMANIE	21	0	17	0	4
44	ROUMANIE	21	0	17	0	4
45	ROUMANIE	21	0	17	0	4
46	ROUMANIE	21	0	17	0	4
47	ROUMANIE	21	0	17	0	4
48	ROUMANIE	21	0	17	0	4
49	ROUMANIE	21	0	17	0	4
50	ROUMANIE	21	0	17	0	4
51	ROUMANIE	21	0	17	0	4
52	ROUMANIE	21	0	17	0	4
53	ROUMANIE	21	0	17	0	4
54	ROUMANIE	21	0	17	0	4
55	ROUMANIE	21	0	17	0	4
56	ROUMANIE	21	0	17	0	4
57	ROUMANIE	21	0	17	0	4
58	ROUMANIE	21	0	17	0	4
59	ROUMANIE	21	0	17	0	4
60	ROUMANIE	21	0	17	0	4
61	ROUMANIE	21	0	17	0	4
62	ROUMANIE	21	0	17	0	4
63	ROUMANIE	21	0	17	0	4
64	ROUMANIE	21	0	17	0	4
65	ROUMANIE	21	0	17	0	4
66	ROUMANIE	21	0	17	0	4
67	ROUMANIE	21	0	17	0	4
68	ROUMANIE	21	0	17	0	4
69	ROUMANIE	21	0	17	0	4
70	ROUMANIE	21	0	17	0	4
71	ROUMANIE	21	0	17	0	4
72	ROUMANIE	21	0	17	0	4
73	ROUMANIE	21	0	17	0	4
74	ROUMANIE	21	0	17	0	4
75	ROUMANIE	21	0	17	0	4
76	ROUMANIE	21	0	17	0	4
77	ROUMANIE	21	0	17	0	4
78	ROUMANIE	21	0	17	0	4
79	ROUMANIE	21	0	17	0	4
80	ROUMANIE	21	0	17	0	4
81	ROUMANIE	21	0	17	0	4
82	ROUMANIE	21	0	17	0	4
83	ROUMANIE	21	0	17	0	4
84	ROUMANIE	21	0	17	0	4
85	ROUMANIE	21	0	17	0	4
86	ROUMANIE	21	0	17	0	4
87	ROUMANIE	21	0	17	0	4
88	ROUMANIE	21	0	17	0	4
89	ROUMANIE	21	0	17	0	4
90	ROUMANIE	21	0	17	0	4
91	ROUMANIE	21	0	17	0	4
92	ROUMANIE	21	0	17	0	4
93	ROUMANIE	21	0	17	0	4
94	ROUMANIE	21	0	17	0	4
95	ROUMANIE	21	0	17	0	4
96	ROUMANIE	21	0	17	0	4
97	ROUMANIE	21	0	17	0	4
98	ROUMANIE	21	0	17	0	4
99	ROUMANIE	21	0	17	0	4
100	ROUMANIE	21	0	17	0	4
101	ROUMANIE	21	0	17	0	4
102	ROUMANIE	21	0	17	0	4
103	ROUMANIE	21	0	17	0	4
104	ROUMANIE	21	0	17	0	4
105	ROUMANIE	21	0	17	0	4
106	ROUMANIE	21	0	17	0	4
107	ROUMANIE	21	0	17	0	4
108	ROUMANIE	21	0	17	0	4
109	ROUMANIE	21	0	17	0	4
110	ROUMANIE	21	0	17	0	4
111	ROUMANIE	21	0	17	0	4
112	ROUMANIE	21	0	17	0	4
113	ROUMANIE	21	0	17	0	4
114	ROUMANIE	21	0	17	0	4
115	ROUMANIE	21	0	13	4	4
116	ROUMANIE	37	16	9	8	4
117	ROUMANIE	53	32	5	12	4
118	ROUMANIE	53	32	1	16	4
Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
1	ROUMANIE	26	21	0	0	5
2	ROUMANIE	26	21	0	0	5
3	ROUMANIE	26	21	0	0	5
4	ROUMANIE	26	21	0	0	5
5	ROUMANIE	26	21	0	0	5
6	ROUMANIE	26	16	5	0	5
7	ROUMANIE	42	16	21	0	5
8	ROUMANIE	42	16	21	0	5
9	ROUMANIE	42	16	21	0	5
10	ROUMANIE	42	16	21	0	5
11	ROUMANIE	42	16	21	0	5
12	ROUMANIE	42	16	21	0	5
13	ROUMANIE	42	0	37	0	5
14	ROUMANIE	42	0	37	0	5
15	ROUMANIE	42	0	37	0	5
16	ROUMANIE	42	0	37	0	5
17	ROUMANIE	42	0	37	0	5
18	ROUMANIE	42	0	37	0	5
19	ROUMANIE	42	0	37	0	5
20	ROUMANIE	42	0	37	0	5
21	ROUMANIE	42	0	37	0	5
22	ROUMANIE	42	0	37	0	5
23	ROUMANIE	42	0	37	0	5
24	ROUMANIE	42	0	37	0	5
25	ROUMANIE	42	0	37	0	5
26	ROUMANIE	42	0	37	0	5
27	ROUMANIE	42	0	37	0	5
28	ROUMANIE	42	0	37	0	5
29	ROUMANIE	42	0	37	0	5
30	ROUMANIE	42	0	37	0	5
31	ROUMANIE	42	0	37	0	5
32	ROUMANIE	42	0	37	0	5
33	ROUMANIE	42	0	37	0	5
34	ROUMANIE	42	0	37	0	5
35	ROUMANIE	42	0	37	0	5
36	ROUMANIE	42	0	37	0	5
37	ROUMANIE	42	0	37	0	5
38	ROUMANIE	42	0	37	0	5
39	ROUMANIE	42	0	37	0	5
40	ROUMANIE	42	0	37	0	5
